N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,외국인비율
1.0,삼성전자,60500.0,300.0,-0.49%,100.0,10635576.0,61000.0,61200.0,60500.0,50.73
2.0,LG에너지솔루션,538000.0,3000.0,+0.56%,500.0,286586.0,539000.0,542000.0,533000.0,5.31
3.0,SK하이닉스,87300.0,800.0,-0.91%,5000.0,2227091.0,88500.0,89200.0,87200.0,51.19
4.0,삼성바이오로직스,788000.0,16000.0,+2.07%,2500.0,56480.0,777000.0,791000.0,776000.0,10.59
5.0,삼성SDI,731000.0,21000.0,+2.96%,5000.0,324258.0,711000.0,740000.0,705000.0,48.42
6.0,LG화학,703000.0,25000.0,+3.69%,5000.0,230401.0,687000.0,707000.0,684000.0,48.34
7.0,삼성전자우,53700.0,200.0,-0.37%,100.0,698306.0,54000.0,54100.0,53700.0,71.92
8.0,현대차,176100.0,2400.0,-1.34%,5000.0,547936.0,177500.0,178200.0,175000.0,30.3
9.0,NAVER,205500.0,500.0,-0.24%,100.0,725423.0,207500.0,210500.0,205500.0,47.67
10.0,기아,78200.0,400.0,+0.51%,5000.0,1146537.0,78400.0,79100.0,77400.0,36.62
11.0,POSCO홀딩스,332000.0,5000.0,-1.48%,5000.0,792740.0,339500.0,341000.0,329500.0,50.34
12.0,카카오,61000.0,200.0,-0.33%,100.0,1238073.0,61600.0,62200.0,60900.0,26.08
13.0,셀트리온,150600.0,6900.0,+4.80%,1000.0,1453665.0,144000.0,154600.0,144000.0,20.75
14.0,삼성물산,110400.0,500.0,-0.45%,100.0,183925.0,111100.0,111400.0,110200.0,17.15
15.0,KB금융,50000.0,600.0,-1.19%,5000.0,1076825.0,50700.0,51000.0,49800.0,73.23
16.0,현대모비스,216500.0,500.0,-0.23%,5000.0,131955.0,218500.0,219500.0,216000.0,36.34
17.0,신한지주,37050.0,650.0,-1.72%,5000.0,1492614.0,37700.0,38050.0,37050.0,63.41
18.0,LG전자,110800.0,600.0,-0.54%,5000.0,472951.0,112500.0,113400.0,109500.0,26.81
19.0,포스코케미칼,229000.0,11000.0,+5.05%,500.0,1540820.0,219500.0,231500.0,218500.0,7.66
20.0,SK이노베이션,160800.0,300.0,+0.19%,5000.0,629765.0,162200.0,164100.0,158700.0,24.45
21.0,SK,181800.0,300.0,-0.16%,200.0,126102.0,181200.0,183300.0,181200.0,22.78
22.0,삼성생명,66900.0,500.0,-0.74%,500.0,205694.0,67000.0,67700.0,66600.0,14.76
